exchange,bitcoin-USD,ethereum-USD,dash-USD,litecoin-USD,bitcoin-cash-USD
Coinsbit,6976.83,160.94,,43.01,236.25
PayBito,6911.7,159.88,,43.18,234.54
P2PB2B,6977.74,160.75,76.25,43.03,236.38
Folgory,6985.7,161.14,,,236.81
BitAsset,7077.79,162.84,,,
Exrates,6995.65,161.03,76.32,43.1,236.9
ExtStock,6976.07,160.71,,43.01,236.0
Coinbase Pro,7012.22,161.26,76.29,43.18,237.14
Simex,6987.62,,,43.2,
Bitfinex,7010.0,161.24,76.37,43.12,237.09
Cryptonex,6971.22,161.47,,,
Kraken,6993.3,161.19,76.13,43.16,237.3
Bitstamp,7009.0,161.15,,43.11,237.18
Sistemkoin,6988.2,161.3,,,
Dex-Trade,6994.98,,,,
Coinsuper,6999.43,161.18,,,
BTSE,6996.5,,,43.2,
Livecoin,7200.0,,79.02,44.63,241.91
WhiteBIT,6990.05,,76.17,43.04,236.45
Gemini,7010.47,161.25,,43.14,236.63
BTC-Alpha,6989.24,,,43.05,
Bittrex,7000.0,,74.77,43.13,236.92
LakeBTC,7338.57,,,,
IndoEx,,160.63,,42.9,
CoinField,,161.23,75.38,43.05,237.41
Alterdice,,,76.32,43.1,
Exmo,,,78.94,44.51,244.62
Binance US,,,75.54,43.19,236.65
CEX.IO,,,76.03,43.21,236.03
YoBit,,,79.56,44.71,242.33
BitBay,,,76.0,,235.0
SouthXchange,,,75.43,42.53,233.48
COSS,,,148.0,,
BITEXBOOK,,,579.03,,
Lykke Exchange,,,73.23,,
B2BX,,,,43.18,237.15
Cryptology,,,,42.88,236.47
Currency.com,,,,43.1,236.55
Polyx,,,,43.04,237.44
OKCoin,,,,43.22,231.91
Liquid,,,,,236.99
